Population,Iterations,Mutation,Crossover,EA Fitness,BF Fitness,EA Timing,BF Timing,Timer,Weather
100,2000,0.9,0.6,5305269,5302639,01:28:25.269,01:28:22.639,12:47.897,(1-'Dry')
100,2000,0.9,0.6,5304496,5302639,01:28:24.496,01:28:22.639,13:25.424,(1-'Dry')
250,2000,0.9,0.6,5305269,5302639,01:28:25.269,01:28:22.639,33:25.718,(1-'Dry')
250,2000,0.9,0.6,5305717,5302639,01:28:25.717,01:28:22.639,32:28.484,(1-'Dry')
250,2000,0.9,0.6,5304807,5302639,01:28:24.807,01:28:22.639,31:59.622,(1-'Dry')
250,500,0.9,0.6,5303366,5302639,01:28:23.366,01:28:22.639,07:10.681,(1-'Dry')
250,500,0.9,0.6,5306251,5302639,01:28:26.251,01:28:22.639,07:08.108,(1-'Dry')
250,500,0.9,0.6,5302923,5302639,01:28:22.923,01:28:22.639,07:30.489,(1-'Dry')
250,500,0.9,0.6,5305431,5302639,01:28:25.431,01:28:22.639,07:09.992,(1-'Dry')
250,500,0.9,0.6,5306349,5302639,01:28:26.349,01:28:22.639,07:10.464,(1-'Dry')
250,500,0.9,0.6,5303631,5302639,01:28:23.631,01:28:22.639,07:39.575,(1-'Dry')
250,500,0.9,0.6,5307854,5302639,01:28:27.854,01:28:22.639,07:51.858,(1-'Dry')
