,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
110,,,,,,,,,,,,,,,,,5873440.0,,,5762277.0
111,6399421.0,,,,,,,,,,,,5970440.0,,5931510.0,,,5838954.0,,5763530.0
112,,,,,,,,,,,,,,,,,5875216.0,,,
113,,,,6216714.0,,,,,,6001893.0,,,,,,,,,,
114,,,6268103.0,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,5767216.0
117,,,,,,,,,,,,,5978186.0,,,,,,,
118,,,,6217755.0,,,6140029.0,,,,,,,,,,,,,
119,,,,,,,,6069827.0,,,,,,,,,,,,
120,,,,,,,,,,6007194.0,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,5967726.0,,,,,,5772147.0
123,,,,,,6183417.0,,6070865.0,,6008127.0,,,,,,,5890498.0,,,5772860.0
124,,6343739.0,,,,,,,,,,,,,,,,,,
125,,,,,,6185279.0,,,,,,,,,,,5899668.0,,,5774348.0
126,,,,,,,,,,,,,,5971984.0,,,,,,
127,,,,,,,,,,,,,,,,,,,,
128,,,,,,,6147129.0,6073519.0,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,
131,,,,6223470.0,,,,,,,,,,,,,,,,
132,,,,6223605.0,,,6151670.0,,,,,,,,,,,,5801406.0,
133,6451189.0,,,,,,,,,,,,,,,,,,,
134,,,,6224226.0,,,,,,,,,,,,,,,,
135,,,,6225278.0,,,,,,,,,,6016688.0,,,,,,
136,,,,6225384.0,,,,,,,,,,,,,5954995.0,,,5813212.0
137,,,,,,,,6083980.0,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,5902002.0,5805520.0,
139,,,,,,,,,,,,,,,,,,,5807284.0,
140,,,,,,6215113.0,,,,,6007617.0,,,,,,,,,
141,,,,,,,,,,,,6036691.0,,,,,,,,
142,,,,,,,,,,,,,,,,,6042882.0,,,
143,,,,6229096.0,,,,,,,,,,,,6073874.0,6052584.0,,,
144,,,,,6231093.0,6227524.0,,,,,,,,,,,6058346.0,,,
145,,,,,,,6160604.0,,,,,6054251.0,,,,,,,,
146,,,,,,,,6110792.0,,,,,,,,,6069677.0,,,
147,,,,,,,,,,,,,,,,,,,,
148,,6360971.0,,,,,,,,,,,,,,,,,5812447.0,
149,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,6199008.0,,,5814127.0,
151,,,,,,,,,,,6084865.0,,,,5969994.0,,,,,
152,,,,,,6251043.0,,,,6060694.0,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,6142608.0,,,,,,,,,,,,
155,,,6328048.0,,6253894.0,,,6151994.0,,,,,,,,,,,5820985.0,
156,,,,,,,,,,,,,,,,,,,,
157,,,,6246818.0,,,,,,,,,,6423097.0,,,,,,
158,6503433.0,,,6248126.0,,,,,,,,,,,,,,,,
159,6505608.0,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,6271984.0,,,,,,,,,,,
161,,,,6249421.0,,,,,,6160278.0,,,,,,,,,,
162,,,,,,6306918.0,,,,,,,,,,,,,,
163,,6379928.0,,6253498.0,,,,,,,,,6351173.0,,,,,,5838894.0,
164,,,,,6322594.0,,6221071.0,,,6170447.0,,,,,,,,,,
165,,6385533.0,,,,,,,,6187518.0,,,,,,,,,,
166,,,,,,,,,,,,,,6468584.0,,,,,,
167,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,
169,,6409050.0,6429358.0,,,,,,,,,,,,,,,,,
170,,6409588.0,,,,,,,6395369.0,,,,,,,,,,,
171,,,,,,,,,,,,,6425726.0,,,,,,,
172,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,
