,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,5939536.0,5917560.0,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,5936161.0,,,
9,,,,,,,,,,
10,,,,,,,5939536.0,,,
11,,,,,,,,,,
12,,,,,,,,5895700.0,,
13,,,,,,,5962983.0,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,6088681.0,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,5914252.0,,
21,,,,,,,,,,5851843.0
22,,,,,,,,5917560.0,,
23,,,,,,,6014360.0,,5873796.0,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,6142956.0,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,6177127.0,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,5936161.0,,
41,,,,,,,,,,
42,,,,,,,,,5892299.0,
43,,,,6131999.0,6119246.0,,,,,
44,,,,,,,,,,
45,,,,,,,,5938059.0,,
46,,,,,,,,5939536.0,,
47,,,,,,,,,,
48,,,,,,,,5941074.0,,
49,,,,,,,6066778.0,,,
50,,6163790.0,,,,,,,5895700.0,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,5953675.0,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,6163790.0,,,,,,,
63,,,,,,,,,,
64,,,,,,,,5962983.0,,
65,,,,6142956.0,,,,,,
66,,6176129.0,,,,,,5965268.0,,
67,,6177127.0,,,,6118896.0,,5966329.0,,5873796.0
68,,,,,,,,5967337.0,,
69,,,,,,6119246.0,,,,
70,,,,,,,,,,
71,,,,,6131999.0,,,5972537.0,,
72,,,,,,,,,,
73,6301731.0,,,,,,,,,
74,,,,,,,6081608.0,,,
75,,,,,,,,,5908855.0,
76,,,,,,,,,,
77,6310177.0,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,5914252.0,
83,6317021.0,,,,,,,,,
84,,,,6149762.0,,,,,,
85,,,,,,,,5987989.0,,
86,,,,,,,6088681.0,,5916403.0,5882026.0
87,,,,,,,,,,
88,,,,,,,,,5917560.0,
89,,,,,,,,,5917605.0,
90,,,,,,,,5992091.0,,
91,,6191986.0,,,,,,5992591.0,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
