Lap 22: Rain 0% -> Compound 'Soft', TyresAge 7, Wear '17.0'% | '15.0'% | '13.0'% | '11.0'%, Fuel '63.37' Kg, PitStop 'No', Time '01:23.752' ms
Lap 23: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '61.48' Kg, PitStop 'Yes', Time '01:47.864' ms
Lap 24: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '59.59' Kg, PitStop 'Yes', Time '01:47.752' ms
Lap 25: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '57.7' Kg, PitStop 'No', Time '01:22.746' ms
Lap 26: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '55.82' Kg, PitStop 'Yes', Time '01:47.524' ms
Lap 27: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '53.93' Kg, PitStop 'No', Time '01:22.520' ms
Lap 28: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '52.04' Kg, PitStop 'Yes', Time '01:47.298' ms
Lap 29: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '50.15' Kg, PitStop 'No', Time '01:22.294' ms
Lap 30: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '48.26' Kg, PitStop 'No', Time '01:22.288' ms
Lap 31: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '7.0'% | '7.0'% | '6.0'% | '5.0'%, Fuel '46.37' Kg, PitStop 'No', Time '01:22.298' ms
Lap 32: Rain 0% -> Compound 'Soft', TyresAge 4, Wear '10.0'% | '9.0'% | '8.0'% | '6.0'%, Fuel '44.48' Kg, PitStop 'No', Time '01:22.294' ms
Lap 33: Rain 0% -> Compound 'Soft', TyresAge 5, Wear '12.0'% | '11.0'% | '9.0'% | '8.0'%, Fuel '42.6' Kg, PitStop 'No', Time '01:22.278' ms
Lap 34: Rain 0% -> Compound 'Soft', TyresAge 6, Wear '15.0'% | '13.0'% | '11.0'% | '9.0'%, Fuel '40.71' Kg, PitStop 'No', Time '01:22.278' ms
Lap 35: Rain 0% -> Compound 'Soft', TyresAge 7, Wear '17.0'% | '15.0'% | '13.0'% | '11.0'%, Fuel '38.82' Kg, PitStop 'No', Time '01:22.278' ms
Lap 36: Rain 0% -> Compound 'Soft', TyresAge 8, Wear '19.0'% | '18.0'% | '15.0'% | '13.0'%, Fuel '36.93' Kg, PitStop 'No', Time '01:22.294' ms
Lap 37: Rain 0% -> Compound 'Soft', TyresAge 9, Wear '22.0'% | '20.0'% | '17.0'% | '14.0'%, Fuel '35.04' Kg, PitStop 'No', Time '01:22.300' ms
Lap 38: Rain 0% -> Compound 'Soft', TyresAge 10, Wear '24.0'% | '22.0'% | '19.0'% | '16.0'%, Fuel '33.15' Kg, PitStop 'No', Time '01:22.308' ms
Lap 39: Rain 0% -> Compound 'Soft', TyresAge 11, Wear '27.0'% | '24.0'% | '21.0'% | '17.0'%, Fuel '31.26' Kg, PitStop 'No', Time '01:22.318' ms
Lap 40: Rain 0% -> Compound 'Soft', TyresAge 12, Wear '29.0'% | '26.0'% | '23.0'% | '19.0'%, Fuel '29.37' Kg, PitStop 'No', Time '01:22.332' ms
Lap 41: Rain 0% -> Compound 'Soft', TyresAge 13, Wear '32.0'% | '29.0'% | '24.0'% | '21.0'%, Fuel '27.49' Kg, PitStop 'No', Time '01:22.364' ms
Lap 42: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '25.6' Kg, PitStop 'Yes', Time '01:47.536' ms
Lap 43: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '23.71' Kg, PitStop 'Yes', Time '01:54.623' ms
Lap 44: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '21.82' Kg, PitStop 'Yes', Time '01:45.484' ms
Lap 45: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '19.93' Kg, PitStop 'Yes', Time '01:47.196' ms
Lap 46: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '18.04' Kg, PitStop 'Yes', Time '01:47.083' ms
Lap 47: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '16.15' Kg, PitStop 'No', Time '01:21.993' ms
Lap 48: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '3.0'% | '3.0'% | '2.0'% | '2.0'%, Fuel '14.27' Kg, PitStop 'No', Time '01:21.916' ms
Lap 49: Rain 0% -> Compound 'Hard', TyresAge 3, Wear '4.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '12.38' Kg, PitStop 'No', Time '01:21.826' ms
Lap 50: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '10.49' Kg, PitStop 'Yes', Time '01:44.804' ms
Lap 51: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '8.6' Kg, PitStop 'Yes', Time '01:45.292' ms
Lap 52: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '6.71' Kg, PitStop 'Yes', Time '01:53.603' ms
Lap 53: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '4.82' Kg, PitStop 'No', Time '01:28.511' ms
Time elapsed: 00:01.342
