,0,1,2,3,4,5,6,7,8,9
0,,,5101672.0,,,,,,,
1,,,,,,,,,,
2,,,,,,4949016.0,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,5076696.0,,,4924176.0,,,
8,,,,,,,,,,
9,,,,5099891.0,,,,,,
10,,,,,,5050148.0,,,,
11,,,,5101672.0,,,4933338.0,,,
12,,,,,,5051756.0,4934607.0,4900000.0,,
13,,,,5109086.0,,,,,,
14,,,,,,,,,,4864164.0
15,,,,5112394.0,,,4942775.0,,4884933.0,
16,,,,,,5059497.0,4949016.0,,4887380.0,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,5075065.0,,,,,
20,,,5271040.0,5122495.0,,,,,,
21,,,,,5076696.0,,,,,
22,,,,,,,,4909715.0,,
23,,,,,5084169.0,,,,,
24,,5295996.0,5278129.0,,,,,,,
25,,,,,,,,4911354.0,,4882620.0
26,,,,,,,,,,
27,,,,,,,,,,
28,,5307237.0,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,5319854.0,,,,,5073756.0,,,,
32,,,,,,5075065.0,,4924176.0,,4884933.0
33,,,,,,,5025172.0,4924430.0,4899343.0,
34,,,,,5094020.0,,,,4900000.0,4885564.0
35,,5314335.0,,,,,,,,4885686.0
36,,,,,,5076696.0,,,,4887380.0
37,,,,,,,5026912.0,,,
38,5351581.0,,,,,,5026935.0,4932742.0,,
39,,5319854.0,,,5097577.0,,,4933338.0,,
40,,,,,,,,4934607.0,,
41,,,,,5099891.0,5081805.0,,,,
42,,,,,,,,,,
43,,,,,5101672.0,,,4938105.0,,
44,5364122.0,,,,,,,,,
45,,5327261.0,,,5103412.0,5084169.0,,,,
46,,,5295996.0,,,,,4941089.0,,
47,,,,,5109086.0,,,,,4893696.0
48,,,,,,,,,,
49,,,,,5112394.0,,,,,
50,,,,,,,,4942775.0,,
51,,,,,,,,,4909715.0,
52,,,,,,,,,4910315.0,
53,5394416.0,,,,,,,4949016.0,,
54,,,,,,,5049548.0,,,
55,,,5307237.0,,5120498.0,,5050148.0,,,
56,,,,,,,,4955959.0,,
57,,,,,5124671.0,,5051756.0,,,
58,,,,,5124703.0,5096253.0,,,,
59,,,,,,,5056398.0,4961811.0,,
60,,,,,5128278.0,,,4962011.0,,
61,,5348826.0,5313913.0,,,,,4965567.0,,
62,,,,,5132745.0,,,4969466.0,,
63,,,,,,,,,4932420.0,
64,,5351500.0,,,,,,4972742.0,,
65,,5351581.0,,,5138339.0,5114888.0,,,,
66,,,,,,,,,4942928.0,
67,,,,,5143115.0,,,,4944737.0,5039768.0
68,5436872.0,,,,,,,4993218.0,,5041405.0
69,,,5319413.0,,,,5069360.0,,,5041570.0
70,,,5321068.0,,,,5073921.0,,4971648.0,
71,,,,5249472.0,,5126995.0,,5057867.0,,5045060.0
72,,,,,,,,5066919.0,5043884.0,
73,,,,,,,,,,5115875.0
74,,,5328604.0,,,5134676.0,5084172.0,5095956.0,,
75,,,,,5221617.0,,,,,
76,,,5330985.0,,5229926.0,,,,,
77,,,,,,,,,,
78,5515211.0,,,,5256947.0,,,,,
79,,,,,,,,,,
80,,5380555.0,,,,5150763.0,,,,
81,,,,,,,,,5408612.0,
82,,,5351911.0,,,,,,,
83,5544480.0,,5362823.0,,,,5197946.0,,5497112.0,
84,,,,,5387861.0,,,,,
85,,,,,,,,,,
86,,5410576.0,,,,,,,,
87,,,,,,5236109.0,,,,
88,,,5397475.0,,,5237396.0,,,6267384.0,5470178.0
89,,,,,5554326.0,,,5585239.0,,
90,,,,5542648.0,,,,,,
91,,,,,,,,,,
92,,,,,,,5502217.0,,,
93,5612153.0,5908969.0,,5622942.0,,,,,,5620137.0
94,,,,,,,5664533.0,,,
95,,,,,,,,,,
96,,,5738353.0,,,,6302594.0,,,
97,,,,,,5570661.0,,,,
98,,,,,,,,,,
99,,,,,,,,,,
