PacketFormat,GameMajorVersion,GameMinorVersion,PacketVersion,PacketId,SessionUID,SessionTime,FrameIdentifier,PlayerCarIndex,SecondaryPlayerCarIndex,EventString,VehicleIndex,LapTime,Speed,PenaltyType,InfringementType,OtherVehicleIndex,Time,LapNum,PlacesGained,OverallFastestInSession,DriverFastestInSession,numLights,flashbackFrameIdentifier,flashbackSessionTime,Button
2021,1,16,1,3,13445084268873967469,67.603859,1139,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,68.447258,1153,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,68.536316,1154,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,69.117424,1163,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,70.227539,1180,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,71.967598,1208,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,72.059341,1210,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,76.165108,1274,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,80.833794,1348,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,81.019432,1351,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,81.112816,1353,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,81.342239,1356,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,81.432777,1357,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,81.704987,1361,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,81.930603,1365,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,82.243011,1369,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,86.688042,1441,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,86.773308,1442,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,88.270638,1466,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,88.358429,1467,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,89.255569,1480,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,90.633385,1502,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,90.819839,1505,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,95.456429,1585,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,96.85276,1608,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,97.117607,1612,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,97.33844,1615,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,101.259369,1679,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,101.303848,1679,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,101.749283,1687,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,102.29567,1695,19,255,BUTN,,,,,,,,,,,,,,,2
2021,1,16,1,3,13445084268873967469,102.340988,1696,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,102.75396,1702,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,102.800133,1702,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,105.03492,1736,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,105.130569,1737,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,108.138878,1782,19,255,BUTN,,,,,,,,,,,,,,,4
2021,1,16,1,3,13445084268873967469,108.138878,1782,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,111.084358,1827,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,111.519783,1833,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,111.613945,1835,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,111.706421,1836,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,111.752533,1837,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,116.959641,1924,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,117.812363,1937,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,119.458115,1963,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,119.499535,1964,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,128.373871,2109,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,128.506546,2111,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,128.550797,2112,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,128.817398,2116,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,128.862076,2116,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,128.906754,2117,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,129.042053,2119,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,132.319504,2170,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,132.448135,2172,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,139.572693,2291,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,139.655914,2293,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,140.621872,2308,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,147.721329,2420,19,255,SPTP,19,,328.741882,,,,,,,,,,,,
2021,1,16,1,3,13445084268873967469,148.624527,2434,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,148.713226,2435,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,148.803345,2436,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,149.12561,2442,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,149.396317,2446,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,149.842285,2454,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,149.931519,2455,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,150.24736,2460,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,150.338562,2461,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,156.186874,2555,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,156.720383,2564,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,157.78421,2582,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,158.805252,2598,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,164.090195,2679,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,169.397018,2766,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,169.489624,2767,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,169.536072,2768,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,169.628616,2769,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,169.90329,2774,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,169.993851,2776,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,170.175568,2778,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,170.267548,2780,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,170.359451,2781,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,170.451157,2782,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,170.54187,2784,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,178.70488,2911,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,178.844009,2913,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,183.317398,2988,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,184.749603,3012,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,185.015671,3016,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,187.742218,3059,19,255,BUTN,,,,,,,,,,,,,,,6144
2021,1,16,1,3,13445084268873967469,188.816833,3077,19,255,BUTN,,,,,,,,,,,,,,,6144
2021,1,16,1,3,13445084268873967469,190.309723,3101,19,255,BUTN,,,,,,,,,,,,,,,6144
2021,1,16,1,3,13445084268873967469,192.912842,3140,19,255,BUTN,,,,,,,,,,,,,,,6144
2021,1,16,1,3,13445084268873967469,193.008682,3141,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,199.111938,3232,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,199.161484,3233,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,199.260361,3234,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,199.309769,3235,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,199.641434,3240,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,199.733185,3242,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,205.441971,3339,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,210.330261,3419,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,210.371399,3419,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,215.937592,3510,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,216.070038,3512,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,216.11441,3513,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,216.426636,3517,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,216.516815,3519,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,221.066895,3600,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,221.151672,3601,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,223.011398,3634,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,226.731842,3696,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,227.309601,3706,19,255,FTLP,19,87.716003,,,,,,,,,,,,,
2021,1,16,1,3,13445084268873967469,228.357437,3723,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,236.096085,3849,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,236.322952,3852,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,236.413055,3853,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,236.78154,3860,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,237.141663,3866,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,237.230576,3867,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,237.76738,3875,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,238.495148,3886,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,238.540848,3887,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,243.669632,3970,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,244.507797,3983,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,246.362915,4011,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,246.459869,4012,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,251.36087,4088,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,256.952515,4176,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,257.773529,4189,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,257.953888,4191,19,255,BUTN,,,,,,,,,,,,,,,0
