Lap 23: Rain 0% -> Compound 'Medium', TyresAge 5, Wear '8.0'% | '6.0'% | '7.0'% | '6.0'%, Fuel '70.58' Kg, PitStop 'No', Time '01:20.635' ms
Lap 24: Rain 0% -> Compound 'Medium', TyresAge 6, Wear '9.0'% | '7.0'% | '8.0'% | '7.0'%, Fuel '68.99' Kg, PitStop 'No', Time '01:20.570' ms
Lap 25: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '67.4' Kg, PitStop 'Yes', Time '01:41.927' ms
Lap 26: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '65.81' Kg, PitStop 'No', Time '01:19.881' ms
Lap 27: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '64.22' Kg, PitStop 'No', Time '01:19.824' ms
Lap 28: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '6.0'% | '5.0'% | '6.0'% | '5.0'%, Fuel '62.63' Kg, PitStop 'No', Time '01:19.777' ms
Lap 29: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '61.04' Kg, PitStop 'Yes', Time '01:43.093' ms
Lap 30: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '59.45' Kg, PitStop 'No', Time '01:21.027' ms
Lap 31: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '57.86' Kg, PitStop 'No', Time '01:20.961' ms
Lap 32: Rain 0% -> Compound 'Hard', TyresAge 3, Wear '4.0'% | '3.0'% | '3.0'% | '2.0'%, Fuel '56.27' Kg, PitStop 'No', Time '01:20.898' ms
Lap 33: Rain 0% -> Compound 'Hard', TyresAge 4, Wear '5.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '54.68' Kg, PitStop 'No', Time '01:20.827' ms
Lap 34: Rain 0% -> Compound 'Hard', TyresAge 5, Wear '6.0'% | '5.0'% | '4.0'% | '4.0'%, Fuel '53.09' Kg, PitStop 'No', Time '01:20.762' ms
Lap 35: Rain 0% -> Compound 'Hard', TyresAge 6, Wear '7.0'% | '6.0'% | '5.0'% | '5.0'%, Fuel '51.5' Kg, PitStop 'No', Time '01:20.698' ms
Lap 36: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '49.91' Kg, PitStop 'Yes', Time '01:41.312' ms
Lap 37: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '48.32' Kg, PitStop 'No', Time '01:19.254' ms
Lap 38: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '46.73' Kg, PitStop 'No', Time '01:19.195' ms
Lap 39: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '45.14' Kg, PitStop 'No', Time '01:19.142' ms
Lap 40: Rain 0% -> Compound 'Medium', TyresAge 4, Wear '6.0'% | '5.0'% | '5.0'% | '5.0'%, Fuel '43.55' Kg, PitStop 'No', Time '01:19.084' ms
Lap 41: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '41.96' Kg, PitStop 'Yes', Time '01:40.867' ms
Lap 42: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '40.37' Kg, PitStop 'No', Time '01:18.809' ms
Lap 43: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '38.78' Kg, PitStop 'No', Time '01:18.750' ms
Lap 44: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '37.19' Kg, PitStop 'No', Time '01:18.697' ms
Lap 45: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '35.6' Kg, PitStop 'Yes', Time '01:41.668' ms
Lap 46: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '34.01' Kg, PitStop 'No', Time '01:19.603' ms
Lap 47: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '32.42' Kg, PitStop 'No', Time '01:19.537' ms
Lap 48: Rain 0% -> Compound 'Hard', TyresAge 3, Wear '4.0'% | '3.0'% | '3.0'% | '2.0'%, Fuel '30.83' Kg, PitStop 'No', Time '01:19.474' ms
Lap 49: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '29.24' Kg, PitStop 'Yes', Time '01:39.790' ms
Lap 50: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '27.65' Kg, PitStop 'Yes', Time '01:48.310' ms
Lap 51: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '26.06' Kg, PitStop 'Yes', Time '01:41.134' ms
Lap 52: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '24.47' Kg, PitStop 'Yes', Time '01:41.045' ms
Lap 53: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '22.88' Kg, PitStop 'No', Time '01:18.979' ms
Lap 54: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '21.29' Kg, PitStop 'Yes', Time '01:39.709' ms
Lap 55: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '19.7' Kg, PitStop 'Yes', Time '01:40.777' ms
Lap 56: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '18.11' Kg, PitStop 'No', Time '01:18.712' ms
Lap 57: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '16.52' Kg, PitStop 'Yes', Time '02:07.032' ms
Lap 58: Rain 0% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '14.93' Kg, PitStop 'No', Time '01:44.977' ms
Lap 59: Rain 0% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '13.34' Kg, PitStop 'Yes', Time '02:06.854' ms
Lap 60: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '11.75' Kg, PitStop 'Yes', Time '01:40.377' ms
Lap 61: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '10.16' Kg, PitStop 'No', Time '01:18.267' ms
Lap 62: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '8.57' Kg, PitStop 'Yes', Time '01:47.241' ms
Lap 63: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '6.98' Kg, PitStop 'Yes', Time '01:38.908' ms
Lap 64: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '5.39' Kg, PitStop 'Yes', Time '01:38.819' ms
Lap 65: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '3.8' Kg, PitStop 'No', Time '01:16.761' ms
Lap 66: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '2.21' Kg, PitStop 'No', Time '01:16.702' ms
Time elapsed: 00:14.594
