CarIndex,Name
0,STROLL
1,BOTTAS
2,NORRIS
3,RICCIARDO
4,MAZEPIN
5,HAMILTON
6,VERSTAPPEN
7,GIOVINAZZI
8,GASLY
9,RUSSELL
10,VETTEL
11,OCON
12,LATIFI
13,SAINZ
14,SCHUMACHER
15,ALONSO
16,TSUNODA
17,PEREZ
18,RÄIKKÖNEN
19,LECLERC
