,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,,,,,5045104.0,,,,,
2,,,,,,,,4925253.0,,
3,,,,,,,,,,
4,,,,,,5020164.0,4992899.0,,4885466.0,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,4966222.0,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,5045104.0,,,,4860912.0
11,,5203464.0,,,,,5018543.0,,,
12,,,,5175139.0,,5060485.0,,,,
13,,,,,,5065468.0,5020164.0,,4925253.0,
14,,,,5176165.0,,5071114.0,,,,
15,,,,,5161229.0,,,,,
16,,,,5178524.0,,,,,4931076.0,
17,5229372.0,,,,,,,,,
18,,,,,,,,,,4885466.0
19,,,,,,,5027903.0,,,
20,,,,,,,,,,4886850.0
21,,,,,,,,,,
22,,,,,,,,4992899.0,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,5221751.0,,,,,,,,
26,,,,,,,5033924.0,,4951173.0,
27,,,5203464.0,,5173883.0,,5035007.0,,,
28,,,,,5174341.0,,,,4957393.0,
29,,,,,,,5039268.0,,,
30,,,,,5175139.0,,5040617.0,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,5176165.0,,5045104.0,5001707.0,,
34,,,,,,,5045104.0,,4960389.0,4908617.0
35,,5229372.0,,,,,5046174.0,,,4908798.0
36,,5230449.0,,,5178524.0,,,,,4909036.0
37,,,,,,,,,4966222.0,
38,,,5211033.0,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,5060485.0,5008932.0,,
42,5329837.0,,,,,,,,,
43,,,,5203464.0,,,5064743.0,,,
44,,,,,,,,,,
45,,,,,,,5065468.0,,,
46,,,,,,,5070615.0,,,
47,,,,,,,5070652.0,,4976706.0,
48,,,,,,,5071058.0,,,
49,5349834.0,,,,5185988.0,,5071114.0,,,4923251.0
50,,,,,,,5072883.0,5018543.0,,
51,,,,,,,,,,4925253.0
52,5353243.0,,,,5189428.0,,,5019671.0,,
53,,,,,,,,5020164.0,,
54,,5253116.0,,,,,,,,
55,,,,,,,,,,
56,,,5223852.0,,,,,,,
57,,,,,,,,,,
58,,,,,,,5085518.0,5026512.0,,4933952.0
59,,,,,,,5085695.0,,,
60,,,,,5200556.0,,,,,
61,,,,5216086.0,,,5088013.0,5029081.0,,
62,,,5228087.0,,,,5090248.0,,,
63,,5267286.0,,,,,5093501.0,,,
64,,,5228956.0,5219155.0,5203170.0,,,,,
65,,,,,5203464.0,,5098882.0,5031120.0,,4949949.0
66,,,,,,,,,4997872.0,
67,,,,,,,,,,
68,5448305.0,,,,,5170802.0,5117731.0,,,
69,,,,,,,,,,
70,,,,5228087.0,,,,,5007432.0,
71,,,,,,,,5045104.0,,
72,5475879.0,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,5070626.0,,
75,,5280668.0,,,,,,,,
76,,,,,5209757.0,,,,,
77,,,,,5220448.0,,,,,
78,,,,,,,,,,
79,5496064.0,,,,5229455.0,,,5104980.0,,5213368.0
80,,,,,,,,,,
81,,,,,,,,,,
82,5506905.0,,,,,,,,,
83,5510604.0,,,,,,,5292888.0,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,5539293.0,,,,,,,,,
88,5542038.0,,5462631.0,,5315149.0,,,,,
89,,,,,,,,5438448.0,,
90,,,,,,,,,,
91,,,,5414924.0,,,,,,
92,,,,5422717.0,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,5539505.0,,,,,,
96,,,,,,,,,,
97,5732057.0,,,,,,,,,
98,,,,,,,,,,
99,5825977.0,,,,,,,,,
