,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,,,,,,5036847.0,,,,4921718.0
2,,,,,,,5012391.0,4997710.0,,
3,,,,,,,,,,
4,,,,,,,5032028.0,,4979190.0,
5,,,,,,,5036847.0,,4984879.0,4948070.0
6,,,,,5105308.0,,,5012391.0,,
7,,5187900.0,,5141247.0,,,,5030309.0,4990050.0,
8,,,,,5114686.0,,,,,
9,,,,5141918.0,,,,,4992450.0,
10,,,,,,,,5032028.0,4992891.0,4961928.0
11,,,,,,,5061407.0,5032628.0,,
12,,5193678.0,5165331.0,,,,,,,4967584.0
13,5209883.0,,,,,,,,4997710.0,4967999.0
14,5210984.0,,5166896.0,,,,,,,
15,,,5168147.0,,,,,,,
16,,,,,,,,,,4972392.0
17,,,,,,,,5036847.0,5004843.0,
18,,5200216.0,,,,5104517.0,5067659.0,5037447.0,,
19,,,,5158215.0,,5104779.0,,,,
20,,5201361.0,,,,5105308.0,,,,4973489.0
21,,,,,,5108309.0,,5044189.0,,
22,,,,5159625.0,,,,,,4975994.0
23,,,,,,,,,,
24,,,,,5134257.0,,5079777.0,5046022.0,5012391.0,
25,,,,,,,,,5013934.0,4979190.0
26,,,,,,,,5047001.0,5015028.0,4982371.0
27,,,,,,5114686.0,,,,
28,,,,,,,,5048516.0,,4984879.0
29,,5209883.0,,,,,,5048934.0,,
30,,5210984.0,,,,,,,,4986490.0
31,,,,,,,,,,4986607.0
32,,,,,5141247.0,,,,5023196.0,
33,,,5187900.0,,,,,,5024866.0,4987987.0
34,,,,,5141918.0,,,,,4988140.0
35,,,,,,,,,,
36,5296365.0,,,5165331.0,,,,,,
37,,5219509.0,5190274.0,,,,,,,4990011.0
38,,,,,,,,,,4990050.0
39,,5220090.0,,5166896.0,,,,,5030309.0,
40,,5220552.0,,5168147.0,5145912.0,,,,,
41,,,,5168573.0,,,,,,4992450.0
42,,,,,,,,5061407.0,,4992891.0
43,,,,,,,,,,
44,,,,,,,,,5032028.0,4995323.0
45,,,,,,,,,5032028.0,
46,,,5193678.0,,,5129526.0,,5064441.0,5032628.0,
47,,,,,,,,5064474.0,,
48,,,,,,,,,,4997710.0
49,5351414.0,,5194219.0,,,5131914.0,,,,
50,,,,5172388.0,,,,,,
51,,,,,,,,,5037468.0,4999848.0
52,,,,,,,,,,
53,,,,,,,,5069009.0,,5002288.0
54,,,,,,5138422.0,,5069714.0,,5002398.0
55,,,5200216.0,5175419.0,,,,,,
56,,5232998.0,,,,,5108358.0,,,5012360.0
57,,,,,,,,,5056694.0,
58,,,,,5156651.0,,,,5057006.0,
59,,,,,5156798.0,,,,5057023.0,5014990.0
60,5385899.0,,,,,,,,,5015532.0
61,,,,,,5154296.0,,,,5015589.0
62,,,,,,,,,5059617.0,
63,,,,,5159292.0,,,,,5017317.0
64,5400677.0,,,,,,,,5066557.0,5018495.0
65,,,5213340.0,,,,,,,5020021.0
66,,,,5188390.0,5160367.0,5159281.0,,,,
67,5420765.0,,,,,,,,5083393.0,
68,,,,,,,,,,
69,,,,5193160.0,,,,5181001.0,5108565.0,
70,,,,,,,,,,
71,,,,,,,,,5154034.0,
72,,,5220806.0,,5170556.0,,,,5176218.0,5030809.0
73,,,,,,,,,,5033474.0
74,,,,,,,5127353.0,,5195905.0,
75,,,,,,,,,,5040501.0
76,,,,,,,,,,
77,5464362.0,,,5211513.0,,,,,,5042483.0
78,,,,5218562.0,,,,,,
79,,,,,,,,,,5052421.0
80,,,,,,5321986.0,,,,5058336.0
81,,5265537.0,,,,,,,5373417.0,
82,5479364.0,,5272009.0,5233403.0,,,,,,
83,,,,,,,5220206.0,,5396847.0,
84,,,,,,,,,,
85,,,,,,,,,,
86,,5288113.0,,,,5447836.0,,,,
87,,,,,5263407.0,,,,5621000.0,
88,,5306727.0,,,5274205.0,,,,5795699.0,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,5383411.0,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
