Lap 35 -> Compound 'Hard', Wear '0.12'% | '0.11'% | '0.12'% | '0.11'%, Fuel '55.86' Kg, PitStop 'No', Time '01:12.789' ms
Lap 36 -> Compound 'Hard', Wear '0.13'% | '0.12'% | '0.13'% | '0.12'%, Fuel '54.38' Kg, PitStop 'No', Time '01:12.749' ms
Lap 37 -> Compound 'Hard', Wear '0.14'% | '0.13'% | '0.14'% | '0.13'%, Fuel '52.91' Kg, PitStop 'No', Time '01:12.710' ms
Lap 38 -> Compound 'Hard', Wear '0.15'% | '0.14'% | '0.15'% | '0.14'%, Fuel '51.43' Kg, PitStop 'No', Time '01:12.671' ms
Lap 39 -> Compound 'Hard', Wear '0.16'% | '0.14'% | '0.16'% | '0.15'%, Fuel '49.95' Kg, PitStop 'No', Time '01:12.619' ms
Lap 40 -> Compound 'Hard', Wear '0.17'% | '0.15'% | '0.17'% | '0.16'%, Fuel '48.48' Kg, PitStop 'No', Time '01:12.582' ms
Lap 41 -> Compound 'Soft', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '47.0' Kg, PitStop 'Yes', Time '01:34.207' ms
Lap 42 -> Compound 'Soft', Wear '0.06'% | '0.05'% | '0.06'% | '0.06'%, Fuel '45.53' Kg, PitStop 'No', Time '01:10.624' ms
Lap 43 -> Compound 'Soft', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '44.05' Kg, PitStop 'Yes', Time '01:34.024' ms
Lap 44 -> Compound 'Soft', Wear '0.06'% | '0.05'% | '0.06'% | '0.06'%, Fuel '42.58' Kg, PitStop 'No', Time '01:10.441' ms
Lap 45 -> Compound 'Soft', Wear '0.08'% | '0.07'% | '0.08'% | '0.08'%, Fuel '41.1' Kg, PitStop 'No', Time '01:10.526' ms
Lap 46 -> Compound 'Soft', Wear '0.1'% | '0.09'% | '0.1'% | '0.1'%, Fuel '39.63' Kg, PitStop 'No', Time '01:10.615' ms
Lap 47 -> Compound 'Soft', Wear '0.12'% | '0.11'% | '0.12'% | '0.12'%, Fuel '38.15' Kg, PitStop 'No', Time '01:10.704' ms
Lap 48 -> Compound 'Soft', Wear '0.14'% | '0.12'% | '0.14'% | '0.14'%, Fuel '36.68' Kg, PitStop 'No', Time '01:10.775' ms
Lap 49 -> Compound 'Soft', Wear '0.16'% | '0.14'% | '0.16'% | '0.15'%, Fuel '35.2' Kg, PitStop 'No', Time '01:10.848' ms
Lap 50 -> Compound 'Soft', Wear '0.17'% | '0.16'% | '0.18'% | '0.17'%, Fuel '33.72' Kg, PitStop 'No', Time '01:10.922' ms
Lap 51 -> Compound 'Soft', Wear '0.19'% | '0.18'% | '0.2'% | '0.19'%, Fuel '32.25' Kg, PitStop 'No', Time '01:11.022' ms
Lap 52 -> Compound 'Medium', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '30.77' Kg, PitStop 'Yes', Time '01:33.640' ms
Lap 53 -> Compound 'Medium', Wear '0.04'% | '0.03'% | '0.04'% | '0.04'%, Fuel '29.3' Kg, PitStop 'No', Time '01:09.925' ms
Lap 54 -> Compound 'Medium', Wear '0.05'% | '0.04'% | '0.05'% | '0.05'%, Fuel '27.82' Kg, PitStop 'No', Time '01:09.933' ms
Lap 55 -> Compound 'Medium', Wear '0.06'% | '0.05'% | '0.06'% | '0.06'%, Fuel '26.35' Kg, PitStop 'No', Time '01:09.942' ms
Lap 56 -> Compound 'Medium', Wear '0.07'% | '0.07'% | '0.08'% | '0.07'%, Fuel '24.87' Kg, PitStop 'No', Time '01:10.002' ms
Lap 57 -> Compound 'Medium', Wear '0.08'% | '0.08'% | '0.09'% | '0.08'%, Fuel '23.4' Kg, PitStop 'No', Time '01:10.013' ms
Lap 58 -> Compound 'Medium', Wear '0.1'% | '0.09'% | '0.1'% | '0.1'%, Fuel '21.92' Kg, PitStop 'No', Time '01:10.075' ms
Lap 59 -> Compound 'Medium', Wear '0.11'% | '0.1'% | '0.11'% | '0.11'%, Fuel '20.44' Kg, PitStop 'No', Time '01:10.087' ms
Lap 60 -> Compound 'Medium', Wear '0.12'% | '0.11'% | '0.13'% | '0.12'%, Fuel '18.97' Kg, PitStop 'No', Time '01:10.125' ms
Lap 61 -> Compound 'Medium', Wear '0.13'% | '0.12'% | '0.14'% | '0.13'%, Fuel '17.49' Kg, PitStop 'No', Time '01:10.138' ms
Lap 62 -> Compound 'Medium', Wear '0.15'% | '0.13'% | '0.15'% | '0.14'%, Fuel '16.02' Kg, PitStop 'No', Time '01:10.178' ms
Lap 63 -> Compound 'Medium', Wear '0.16'% | '0.14'% | '0.17'% | '0.16'%, Fuel '14.54' Kg, PitStop 'No', Time '01:10.247' ms
Lap 64 -> Compound 'Medium', Wear '0.17'% | '0.15'% | '0.18'% | '0.17'%, Fuel '13.07' Kg, PitStop 'No', Time '01:10.263' ms
Lap 65 -> Compound 'Medium', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '11.59' Kg, PitStop 'Yes', Time '01:32.451' ms
Lap 66 -> Compound 'Medium', Wear '0.02'% | '0.02'% | '0.03'% | '0.02'%, Fuel '10.12' Kg, PitStop 'No', Time '01:08.585' ms
Lap 67 -> Compound 'Medium', Wear '0.04'% | '0.03'% | '0.04'% | '0.04'%, Fuel '8.64' Kg, PitStop 'No', Time '01:08.644' ms
Lap 68 -> Compound 'Medium', Wear '0.05'% | '0.04'% | '0.05'% | '0.05'%, Fuel '7.17' Kg, PitStop 'No', Time '01:08.653' ms
Lap 69 -> Compound 'Hard', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '5.69' Kg, PitStop 'Yes', Time '01:33.100' ms
Lap 70 -> Compound 'Hard', Wear '0.03'% | '0.03'% | '0.03'% | '0.03'%, Fuel '4.21' Kg, PitStop 'No', Time '01:09.157' ms
