,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,5076587.0,,,,,
4,,,,,,,,,,
5,,,5236181.0,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,4993208.0,
9,,,,,,5044267.0,,,,
10,,,,,,,,5006996.0,,4968368.0
11,,,,,,,,,,
12,,,,,,,5031662.0,,,
13,,5337478.0,,,,5056582.0,,,,4977960.0
14,,,,5234957.0,,,,,,
15,,,,,,,,5017712.0,,
16,,,,,,5058269.0,,,,
17,,,,,,,,,,
18,,,,5236181.0,,5072934.0,,,5002626.0,
19,,,,,,,5044267.0,,,
20,,,,,,5076587.0,,,5005171.0,
21,,,,,,,,,,
22,,,,,5219306.0,,,,,4993208.0
23,,,,,,,,5023973.0,,
24,,,,5241852.0,,5086365.0,,5025563.0,5006996.0,
25,,,,,,,,,,
26,,5420643.0,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,5029750.0,,
30,,,,,,,5056141.0,,,
31,,5430685.0,,,,,,,,
32,,,,,,,5056582.0,,,4997816.0
33,,,,,5229956.0,,5057174.0,5031662.0,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,5058269.0,,,4999942.0
37,,,,,,,,,5017712.0,
38,,,,,5234943.0,,,,5017980.0,
39,,,,,5234957.0,,,,,
40,,,,,,,5063906.0,,,5002626.0
41,,,,,,,,,,
42,,,,5255815.0,,,,,,5006022.0
43,,,,5256958.0,,,,,,
44,,,,,,,5072934.0,5043438.0,,
45,,,,,5236181.0,,,5043955.0,,
46,,,5330175.0,,5236670.0,,,5044267.0,,
47,,,,,,,,,,
48,,,,,5239388.0,,5075934.0,,,
49,,,,,,,,,,
50,,,5334028.0,,,,5076587.0,5049459.0,,
51,,5453809.0,,,,,,,,
52,,,,,,,,,,
53,,5454699.0,,,,,5079589.0,,,
54,,5454722.0,5337478.0,,,,5079679.0,,,
55,,5456437.0,,,,,,,,
56,,,,,5241852.0,,,,,
57,,5457529.0,,,,,5088620.0,5055411.0,5040700.0,5022810.0
58,,,5347283.0,,,,5088951.0,,,
59,,,,,5243233.0,,,,,5024930.0
60,,,5354985.0,,,,5090769.0,,5044143.0,5025475.0
61,,,,,,,5092074.0,,5049749.0,
62,,,,,,,,,,
63,,,5364195.0,,,,5096016.0,,,
64,,,,,,,,5063647.0,,5027890.0
65,,,,,5256887.0,,5104395.0,,,
66,,,,,,,5104757.0,,,
67,,,,,5257959.0,,,5067371.0,,5041426.0
68,,,,,,,5108166.0,,,
69,,,,,,,,,5112568.0,
70,,,,,,,5112517.0,,,5059260.0
71,,,,,,5212499.0,5115387.0,,,5072694.0
72,,,,,,,5122771.0,,,
73,,,,,,,,,5142786.0,
74,,,,,5262898.0,,5149346.0,,,
75,,,,,,,,5105619.0,,5117896.0
76,,,,,,,,5109792.0,,
77,,,,,,,5183324.0,,,
78,,,,,,,5208614.0,,,
79,5456437.0,,,,5286591.0,,,,5278434.0,5179273.0
80,,5502943.0,,,,,,,,
81,,,,,5295879.0,,5270606.0,,,
82,,,,,,5327973.0,,,,
83,,,,,,,,,,
84,,,,,,5376159.0,,,,
85,,5509569.0,,,5368361.0,,,,,
86,5502943.0,,,,5379534.0,,,,,
87,,,,,,,,,,
88,,,5468262.0,,5412296.0,,5439272.0,,,
89,,,,,5412446.0,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,6362756.0
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
