,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,5094151.0,,,,,,
6,,,,,,,5010957.0,,4957914.0,
7,,,,,,,,,,4937756.0
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,5175244.0,,,,,,,,,
12,,,5120866.0,,,,,,,
13,,,5121683.0,,,,,4987806.0,,
14,,,,,,,,,,
15,,5146341.0,,,,5083257.0,5069739.0,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,5094151.0,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,5089574.0,,,4987806.0,
23,,,,,,,,,,4957914.0
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,5094151.0,,,,
27,,,,,,,,,,
28,,,,5115862.0,,,,,,
29,,,,,,,5083257.0,5010957.0,,
30,,,,,,,,,,
31,,,,5117095.0,,,,,,
32,,5175244.0,,,,,5083857.0,,,
33,,,,5120377.0,,,,,,4969452.0
34,,,,,,,5085334.0,5025170.0,,
35,,,,5120866.0,,,,,,
36,5281087.0,,,,,,,,,
37,,5182305.0,,5121683.0,,,,,,
38,,,,,,,,,,
39,5301074.0,,,,,,,,4996676.0,
40,,5184827.0,5146341.0,,,,,,,
41,,,,,,,,5034130.0,,
42,,,,,,,5089574.0,,,
43,5314510.0,,,,,,,,,
44,,,,,,5101986.0,5090475.0,,,4981059.0
45,,,,,,,,,,
46,,,,,,,,,,4982478.0
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,5118471.0,,,,5002709.0,
51,,,,,5118793.0,,,,,
52,,5199016.0,5154832.0,5137527.0,,,,,,
53,5361495.0,,,,,,,,,
54,,,,,,,5097205.0,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,5144075.0,,,,,,
58,,,,,,5123460.0,,,,
59,,,,,,,,,,
60,,,,,,,,,5013609.0,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,5069739.0,5018639.0,4999700.0
66,,,,,,,,,,
67,,,,,5144948.0,,,,,
68,,,,,,,,,,
69,5410478.0,,,,,,5115378.0,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,5445366.0,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,5091435.0,,
77,,,5224063.0,,,,5144643.0,,,5061707.0
78,,,,,5190755.0,,,,,
79,,,,,5202088.0,,,,,
80,,,,5188538.0,,,5168688.0,,5080221.0,
81,,,,,,,,,,
82,,,,,,,5174288.0,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,5190755.0,,,
86,,,,,,,,,,
87,,5312069.0,,,,,5261029.0,,,
88,,,,5391301.0,,,,,,
89,,,,5429719.0,,,,,,
90,,5578243.0,,,5464536.0,5599816.0,,,,
91,,5683529.0,5445755.0,,5529002.0,,,,,
92,5555534.0,,,,,,,,5632275.0,
93,5576105.0,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,5654287.0,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
