Lap 59/71 -> Compound: 'Medium', TyreAge: 14 Laps, TyreWear: FL:21.0% FR:20.0% RL:17.0 RR:16.0%, FuelLoad: 19.01 Kg, PitStop: No, LapTime: 01:05.082 (hh:)mm:ss.ms
Lap 60/71 -> Compound: 'Medium', TyreAge: 15 Laps, TyreWear: FL:22.0% FR:21.0% RL:19.0 RR:17.0%, FuelLoad: 17.55 Kg, PitStop: No, LapTime: 01:05.045 (hh:)mm:ss.ms
Lap 61/71 -> Compound: 'Medium', TyreAge: 16 Laps, TyreWear: FL:24.0% FR:23.0% RL:20.0 RR:18.0%, FuelLoad: 16.09 Kg, PitStop: No, LapTime: 01:05.019 (hh:)mm:ss.ms
Lap 62/71 -> Compound: 'Medium', TyreAge: 17 Laps, TyreWear: FL:25.0% FR:24.0% RL:21.0 RR:19.0%, FuelLoad: 14.63 Kg, PitStop: No, LapTime: 01:04.975 (hh:)mm:ss.ms
Lap 63/71 -> Compound: 'Medium', TyreAge: 18 Laps, TyreWear: FL:27.0% FR:26.0% RL:22.0 RR:20.0%, FuelLoad: 13.16 Kg, PitStop: No, LapTime: 01:04.950 (hh:)mm:ss.ms
Lap 64/71 -> Compound: 'Medium', TyreAge: 19 Laps, TyreWear: FL:28.0% FR:27.0% RL:24.0 RR:21.0%, FuelLoad: 11.7 Kg, PitStop: No, LapTime: 01:04.917 (hh:)mm:ss.ms
Lap 65/71 -> Compound: 'Medium', TyreAge: 20 Laps, TyreWear: FL:30.0% FR:29.0% RL:25.0 RR:22.0%, FuelLoad: 10.24 Kg, PitStop: No, LapTime: 01:04.895 (hh:)mm:ss.ms
Lap 66/71 -> Compound: 'Medium', TyreAge: 21 Laps, TyreWear: FL:31.0% FR:30.0% RL:26.0 RR:24.0%, FuelLoad: 8.78 Kg, PitStop: No, LapTime: 01:04.863 (hh:)mm:ss.ms
Lap 67/71 -> Compound: 'Medium', TyreAge: 22 Laps, TyreWear: FL:33.0% FR:31.0% RL:27.0 RR:25.0%, FuelLoad: 7.31 Kg, PitStop: No, LapTime: 01:04.832 (hh:)mm:ss.ms
Lap 68/71 -> Compound: 'Medium', TyreAge: 23 Laps, TyreWear: FL:34.0% FR:33.0% RL:29.0 RR:26.0%, FuelLoad: 5.85 Kg, PitStop: No, LapTime: 01:04.814 (hh:)mm:ss.ms
Lap 69/71 -> Compound: 'Medium', TyreAge: 24 Laps, TyreWear: FL:36.0% FR:34.0% RL:30.0 RR:27.0%, FuelLoad: 4.39 Kg, PitStop: No, LapTime: 01:04.786 (hh:)mm:ss.ms
Lap 70/71 -> Compound: 'Medium', TyreAge: 25 Laps, TyreWear: FL:37.0% FR:36.0% RL:31.0 RR:28.0%, FuelLoad: 2.93 Kg, PitStop: No, LapTime: 01:04.758 (hh:)mm:ss.ms
Lap 71/71 -> Compound: 'Medium', TyreAge: 26 Laps, TyreWear: FL:39.0% FR:37.0% RL:32.0 RR:29.0%, FuelLoad: 1.47 Kg, PitStop: No, LapTime: 01:04.733 (hh:)mm:ss.ms

Fitness: 4 793 058
Total time: 01:19:53.058
