Generation 1 -> best overall: 01:29:53.853 - best of generation: 01:29:53.853 - population size ratio 1.86% | threshold is 0.3 - counter = 0/10 - stuck value = 0
Generation 2 -> best overall: 01:29:30.335 - best of generation: 01:29:30.335 - population size ratio 2.74% | threshold is 0.3 - counter = 0/10 - stuck value = 0
Generation 3 -> best overall: 01:29:07.089 - best of generation: 01:29:07.089 - population size ratio 3.96% | threshold is 0.3 - counter = 0/10 - stuck value = 0
Generation 4 -> best overall: 01:28:46.089 - best of generation: 01:28:46.089 - population size ratio 6.08% | threshold is 0.3 - counter = 0/10 - stuck value = 0


Best Strategy: 01:28:27.710 vs 01:20:44.149
Lap 31 -> Compound 'Medium', Wear '0.1'% | '0.1'% | '0.09'% | '0.08'%, Fuel '64.44' Kg, PitStop 'No', Time '01:08.275' ms
Lap 32 -> Compound 'Medium', Wear '0.12'% | '0.11'% | '0.1'% | '0.09'%, Fuel '62.97' Kg, PitStop 'No', Time '01:08.236' ms
Lap 33 -> Compound 'Medium', Wear '0.13'% | '0.13'% | '0.11'% | '0.1'%, Fuel '61.51' Kg, PitStop 'No', Time '01:08.204' ms
Lap 34 -> Compound 'Medium', Wear '0.15'% | '0.14'% | '0.12'% | '0.11'%, Fuel '60.05' Kg, PitStop 'No', Time '01:08.157' ms
Lap 35 -> Compound 'Medium', Wear '0.16'% | '0.16'% | '0.14'% | '0.12'%, Fuel '58.59' Kg, PitStop 'No', Time '01:08.125' ms
Lap 36 -> Compound 'Medium', Wear '0.18'% | '0.17'% | '0.15'% | '0.13'%, Fuel '57.12' Kg, PitStop 'No', Time '01:08.087' ms
Lap 37 -> Compound 'Medium', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '55.66' Kg, PitStop 'Yes', Time '01:29.048' ms
Lap 38 -> Compound 'Soft', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '54.2' Kg, PitStop 'Yes', Time '01:30.696' ms
Lap 39 -> Compound 'Hard', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '52.74' Kg, PitStop 'Yes', Time '01:29.492' ms
Lap 40 -> Compound 'Hard', Wear '0.05'% | '0.05'% | '0.04'% | '0.03'%, Fuel '51.27' Kg, PitStop 'No', Time '01:08.449' ms
Lap 41 -> Compound 'Soft', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '49.81' Kg, PitStop 'Yes', Time '01:30.792' ms
Lap 42 -> Compound 'Soft', Wear '0.09'% | '0.08'% | '0.06'% | '0.06'%, Fuel '48.35' Kg, PitStop 'No', Time '01:09.818' ms
Lap 43 -> Compound 'Soft', Wear '0.11'% | '0.11'% | '0.08'% | '0.07'%, Fuel '46.89' Kg, PitStop 'No', Time '01:09.858' ms
Lap 44 -> Compound 'Soft', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '45.43' Kg, PitStop 'Yes', Time '01:30.888' ms
Lap 45 -> Compound 'Soft', Wear '0.09'% | '0.08'% | '0.06'% | '0.06'%, Fuel '43.96' Kg, PitStop 'No', Time '01:09.912' ms
Lap 46 -> Compound 'Hard', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '42.5' Kg, PitStop 'Yes', Time '01:29.197' ms
Lap 47 -> Compound 'Hard', Wear '0.05'% | '0.05'% | '0.04'% | '0.03'%, Fuel '41.04' Kg, PitStop 'No', Time '01:08.153' ms
Lap 48 -> Compound 'Hard', Wear '0.06'% | '0.06'% | '0.05'% | '0.04'%, Fuel '39.58' Kg, PitStop 'No', Time '01:08.109' ms
