,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,,,,,,,,5882768.0,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,5861066.0,
7,,,6172059.0,,,,,,,
8,,,,,,6043247.0,,,,
9,,,,,,,,,5873295.0,
10,,,,,,,,,5882768.0,
11,,,,,,6057021.0,,,,
12,,,,,,,,,,
13,,,,,6084342.0,,,,5901119.0,
14,,,,6122530.0,,,,,,
15,,,,,,6061282.0,,,5905939.0,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,6246356.0,,,,,6021412.0,,
28,,,,,,,,,,
29,,,,6160089.0,,,,,,
30,,,,,,,,,,
31,,,,,6108310.0,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,6043247.0,,,5861066.0
35,,,,,,,,,,5861336.0
36,,,,,,,,,,
37,,,,,,6078060.0,,,,5861866.0
38,,6268239.0,,,,,,,,
39,,6268507.0,,,,,,,,
40,,,,6172059.0,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,6270578.0,,,,6081877.0,,,,
45,,,,,,,,,,5873295.0
46,,,,,,,,,,
47,,,,,6122530.0,,,,,5879246.0
48,,,,,,6084342.0,,,,
49,,,,,,,,,,5881328.0
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,6057021.0,,,
53,,,,,,,,,,5882768.0
54,,,,,6127021.0,,,,,5883970.0
55,,,,6193681.0,,,,,,
56,,,,,,,,,,
57,,,6261420.0,,,6090992.0,6059049.0,,,
58,,,,,,,,,,
59,,,,6197812.0,,,,,,
60,,,,,,,6060649.0,,,
61,,,,,,,6061282.0,,,
62,,,,,,,,,,5892844.0
63,,,,,,,,,,
64,,,6263491.0,6202206.0,,,,,,
65,,,6264165.0,,,,,,,5895113.0
66,,,,,,,,,,
67,,,6265887.0,,,,,,,
68,6290434.0,,,,,,,,,
69,6291299.0,,,,,,,6042593.0,,
70,,,6267722.0,,,,,,,5901119.0
71,,,,,6138113.0,,,6043247.0,,
72,,,,,,,,,,
73,,,6268187.0,,,,,,,
74,,6290434.0,6268239.0,,,,6066373.0,,,
75,,,6268507.0,,,,,,,5905629.0
76,,,,,,,,,,5905939.0
77,,6291299.0,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,6270578.0,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,6294706.0,,,,,,,,
85,,,,,,,,,,5912987.0
86,,6295835.0,,,,,,,,
87,,,6272581.0,,,,,,,
88,,,,,6144149.0,,,,,
89,,,,,,,,,,
90,,6298386.0,,,,,,,,5919038.0
91,,,,,6144735.0,,,,,
92,,,,,,,,,5999852.0,
