Population,Iterations,Mutation,Crossover,EA Fitness,BF Fitness,EA Timing,BF Timing,Timer,Weather,Save Path
100,10,0.8,0.6,4894955,4472444,01:21:34.955,01:14:32.444,00:05.993,(1-Dry),2022_10_17 11_44_10
100,10,0.8,0.6,5045052,4472444,01:24:05.052,01:14:32.444,00:05.901,(1-Dry),2022_10_22 14_49_20
100,10,0.8,0.6,4919425,4472444,01:21:59.425,01:14:32.444,00:06.323,(1-Dry),2022_10_22 14_51_55
