Population,Iterations,Mutation,Crossover,EA Fitness,BF Fitness,EA Timing,BF Timing,Timer,Weather
100,2000,0.9,0.6,4473300,4472444,01:14:33.300,01:14:32.444,08:46.355,(1-'Dry')
250,2000,0.9,0.6,4478304,4472444,01:14:38.304,01:14:32.444,22:08.644,(1-'Dry')
250,2000,0.9,0.6,4474390,4472444,01:14:34.390,01:14:32.444,23:13.536,(1-'Dry')
250,2000,0.9,0.6,4476242,4472444,01:14:36.242,01:14:32.444,24:00.148,(1-'Dry')
500,2000,0.9,0.6,4472734,4472444,01:14:32.734,01:14:32.444,48:38.673,(1-'Dry')
500,2000,0.9,0.6,4473254,4472444,01:14:33.254,01:14:32.444,48:51.811,(1-'Dry')
500,2000,0.9,0.6,4472514,4472444,01:14:32.514,01:14:32.444,52:13.970,(1-'Dry')
250,500,0.9,0.6,4474272,4472444,01:14:34.272,01:14:32.444,05:21.042,(1-'Dry')
250,500,0.9,0.6,4474782,4472444,01:14:34.782,01:14:32.444,05:32.851,(1-'Dry')
250,500,0.9,0.6,4476276,4472444,01:14:36.276,01:14:32.444,05:29.958,(1-'Dry')
250,500,0.9,0.6,4472930,4472444,01:14:32.930,01:14:32.444,05:34.274,(1-'Dry')
250,500,0.9,0.6,4473876,4472444,01:14:33.876,01:14:32.444,05:25.157,(1-'Dry')
250,500,0.9,0.6,4472812,4472444,01:14:32.812,01:14:32.444,05:37.510,(1-'Dry')
250,500,0.9,0.6,4474976,4472444,01:14:34.976,01:14:32.444,05:42.410,(1-'Dry')
250,500,0.9,0.6,4474538,4472444,01:14:34.538,01:14:32.444,05:31.361,(1-'Dry')
