,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,5933351.0,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,6092600.0,6042688.0,,,,,,,,
13,,,,,,,,,,
14,,,,,5980228.0,5946861.0,,5873239.0,,
15,,,,,,,,,5844267.0,5823308.0
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,5918492.0,,,
20,,,,,5985780.0,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,6020837.0,,,,,,,
25,,,,,,,,,,
26,,,,,,,5926403.0,5896815.0,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,5933351.0,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,5906453.0,,5844267.0
39,,,,,,,,,,
40,,,,6007500.0,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,6040525.0,,,,,,,
47,,,,,,,,,5873239.0,
48,,,,,,,,,,
49,,6092600.0,,,,,,,,
50,,,6042688.0,,,,,,,
51,,,,,,,,,,
52,,6096044.0,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,5980008.0,,,,
56,,,,,,5980228.0,,,,
57,,,,,,,5946861.0,5918492.0,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,6255732.0,,,,,,,,,
62,,,,,,,,,,
63,,,,6020837.0,6007500.0,,,5920387.0,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,5954897.0,,,
70,,,,,,,,,,
71,,,,,,,5955201.0,,5886327.0,
72,,,,,,5985780.0,,,,
73,,,,,,,,,5888142.0,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,5926403.0,,
79,,,,,,,,,,
80,,,,,,,,,5892430.0,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,5894271.0,
84,,,,,,5990271.0,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,5930084.0,,
88,,,,,,,,,5896815.0,
89,,,,,,,5961764.0,,,
90,,,,6032669.0,,,,5930659.0,,
91,,,,,,,,,5897179.0,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,6066093.0,,,,,5933351.0,,
96,,,,6034219.0,6019007.0,,,,,
97,,,,,,,,,,
