,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,6167147.0,,6055056.0,,,,,,
6,,6170130.0,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,6087658.0,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,6137120.0,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,6141509.0,,,,,,,
17,,,,,,,,,,
18,,,6145220.0,,,,,5949312.0,,
19,,,,,6034693.0,,,,,
20,,,,,,6006856.0,,,,
21,,,,,,,,,,
22,,,,,,,5976673.0,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,6116157.0,,,,,,5917831.0
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,6120675.0,,,,,,
31,,,,,6055056.0,,,,,
32,,,,,6057475.0,,,,,
33,,,,,6059509.0,,,,,
34,,,6167147.0,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,6168153.0,,,,,,,
38,,,6169124.0,,,,,,,
39,,,6170130.0,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,5938262.0,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,6178255.0,,6077026.0,,,,,
47,,,,,,,,,,
48,,6235533.0,,,,,5998568.0,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,5976673.0,,
52,,,6180330.0,,,,,,,
53,,,,,,,,5977737.0,,
54,6249175.0,,6180649.0,,,,,,,
55,,,,,,,,,,
56,,,,6137120.0,6085546.0,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,6087143.0,,,,,
60,,,,,,6033529.0,,,,
61,,,,,,6034693.0,,,5949312.0,
62,,,,6141144.0,6087658.0,,,,,
63,,,,6141509.0,,,,,,
64,,,,,,,,,5951480.0,
65,,,,,,,,,,
66,,,,,,,,,5953099.0,5938262.0
67,,,,,,,,,,
68,,,,,,,,,,
69,,,6193279.0,,,,,,,
70,,,,,,,6006856.0,,,
71,,,,6144084.0,,6041623.0,,,,
72,,,,,,6042303.0,,,,
73,,,,,,6043654.0,,,,
74,,,,6145220.0,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,6249175.0,,,,,,,,
78,,,,,,,,,,
79,,,6197226.0,,,,,,,
80,,,6197720.0,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,5960942.0,
84,,,,,,,,,,
85,,6254998.0,,,,,,,,
86,,,,,,,,,,
87,6319941.0,,,,,,,,,
88,6321125.0,,,,,,,,,
89,,,,,,6052036.0,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
