,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,5997760.0,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,6078046.0,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,6161862.0,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,6057592.0,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,5960609.0,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,5991658.0,,,
26,,,,,,,,,,
27,,,,6078046.0,,,,,,
28,,,,,,6035732.0,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,5997760.0,,,
32,,,,,,,,,,
33,,,6145549.0,,,6038246.0,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,6089270.0,,,,,,
37,,,,,,,,,,
38,,,,6091157.0,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,6003796.0,,,
43,,,,,,,,,,5955048.0
44,,,,,,,,5982286.0,5975199.0,
45,,,6158130.0,,,6051613.0,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,6161862.0,,,,,,,
49,,,,,,,,,,5957989.0
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,6057592.0,,,,,
53,,,,,6057592.0,,,,,
54,,,,,,,6009091.0,,,
55,,,,,6058700.0,,,,,
56,,,,,,,,,,5960609.0
57,,,,,,,,,,
58,6263382.0,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,5982286.0,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,5991658.0,,
67,,,,,,,,,,
68,6291860.0,6256295.0,,,6063791.0,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,6057592.0,,,,
74,,,,,,6057592.0,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,6058700.0,,,,
80,,,,,,,,,,
81,,,,,,,,5997760.0,,
82,,,,,,6059126.0,,,,
83,,,6189923.0,,,,,,,
84,,6263382.0,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,6029843.0,,,
88,,,,,6071695.0,,,,,
89,,,,,,,,,,
90,6323208.0,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,6001852.0,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,6349637.0,,,,,,,,,
99,,,,,,,,,,
