Log file of circuit Portimao at 22/08/2022 18:04:02

Population: 500
Iterations: 2500
Mutation: 0.9
Crossover: 0.6
PitStopTime: 00:22.000
Weather: 'S'

[EA] Generation 1 - Bruteforce solution: 01:28:22.639 -> best overall: 01:41:22.717 - difference: 13:00.078 - valid strategies: 1.19% | threshold is 0.3 - counter = 0/25 - stuck value = 0
[EA] Generation 2 - Bruteforce solution: 01:28:22.639 -> best overall: 01:38:07.288 - difference: 09:44.649 - valid strategies: 1.18% | threshold is 0.3 - counter = 0/25 - stuck value = 0
[EA] Generation 3 - Bruteforce solution: 01:28:22.639 -> best overall: 01:38:04.155 - difference: 09:41.516 - valid strategies: 5.1% | threshold is 0.3 - counter = 0/25 - stuck value = 0
[EA] Generation 4 - Bruteforce solution: 01:28:22.639 -> best overall: 01:37:42.453 - difference: 09:19.814 - valid strategies: 9.6% | threshold is 0.3 - counter = 0/25 - stuck value = 0


Best Strategy fitness: 5840514
Best Strategy time: 01:37:20.514

 vs 

Bruteforce fitness: 5302639
Bruteforce time: 01:28:22.639
Lap 28: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '70.11' Kg, PitStop 'No', Time '01:20.295' ms
Lap 29: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '68.52' Kg, PitStop 'Yes', Time '01:41.780' ms
Lap 30: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '66.93' Kg, PitStop 'Yes', Time '01:42.056' ms
Lap 31: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '65.34' Kg, PitStop 'No', Time '01:19.998' ms
Lap 32: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '63.75' Kg, PitStop 'Yes', Time '01:43.079' ms
Lap 33: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '62.16' Kg, PitStop 'Yes', Time '01:41.789' ms
Lap 34: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '60.57' Kg, PitStop 'No', Time '01:19.731' ms
Lap 35: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '58.98' Kg, PitStop 'Yes', Time '01:41.611' ms
Lap 36: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '57.39' Kg, PitStop 'No', Time '01:19.553' ms
Lap 37: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '55.8' Kg, PitStop 'No', Time '01:19.494' ms
