,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,6099244.0,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,6209249.0,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,6291209.0,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,6297656.0,,,,,,,,
26,,,,,6184892.0,,,,,
27,,,,,,,6148737.0,,,
28,,,,6236415.0,,,,,,
29,,,,,,,,,,
30,,,,,,,,6129398.0,6078813.0,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,6266598.0,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,6268801.0,,,,,,,
38,,,,,,,,,,
39,,,,,,6170457.0,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,6313185.0,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,6076193.0
51,,,,,,,,,,
52,,,,,6204714.0,,,,,
53,,,,,,,,,6098094.0,6078813.0
54,,,,,6205419.0,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,6099244.0,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,6209249.0,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,6210829.0,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,6170457.0,,,
68,,,6291209.0,,,,,,6105220.0,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,6261983.0,,,,6148737.0,,
72,,,,,,,,,,
73,,,,,,6184892.0,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,6265858.0,,,,,,
82,,,,,,,,,,
83,,,6297656.0,6266598.0,,6187557.0,,6151546.0,,
84,,,,,,,,,,
85,,,6298489.0,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,6226366.0,,,,,
90,,,,,,,,,6121536.0,
91,,,,,,,,,,
92,,,,6268801.0,,,,,,
93,,6339618.0,,,,,,,,
94,,,,,,,,,,
95,,,,,6229179.0,,,,,
96,,,,,,,,,,
97,,,,,6230853.0,,,,,
98,,,,,,,,,,
99,,,6305088.0,,,,,,,
100,,,,,,,,,,
